dep_epci;siren_epci;nom_complet;nj_epci2015;fisc_epci2015;nb_com_epci_2015;ptot_epci_2015;pmun_epci_2015;dep_com;insee;siren_com;nom_com;ptot_2015;pmun_2015
01;240100628;CA Bourg en Bresse Agglomération;CA;FPU;15;74845;71826;01;01385;210103859;Saint-Rémy;988;964
01;240100628;CA Bourg en Bresse Agglomération;CA;FPU;15;74845;71826;01;01405;210104055;Servas;1221;1192
01;240100628;CA Bourg en Bresse Agglomération;CA;FPU;15;74845;71826;01;01429;210104295;Vandeins;663;654
01;240100628;CA Bourg en Bresse Agglomération;CA;FPU;15;74845;71826;01;01451;210104519;Viriat;6343;6160
01;240100636;CC de Treffort en Revermont;CC;FPU;12;9541;9344;01;01095;210100954;Chavannes-sur-Suran;650;638
01;240100636;CC de Treffort en Revermont;CC;FPU;12;9541;9344;01;01125;210101259;Corveissiat;625;614
01;240100636;CC de Treffort en Revermont;CC;FPU;12;9541;9344;01;01127;210101275;Courmangoux;514;507
01;240100636;CC de Treffort en Revermont;CC;FPU;12;9541;9344;01;01150;210101507;Drom;221;214
01;240100636;CC de Treffort en Revermont;CC;FPU;12;9541;9344;01;01172;210101721;Germagnat;149;147
01;240100636;CC de Treffort en Revermont;CC;FPU;12;9541;9344;01;01177;210101770;Grand-Corent;176;170
01;240100636;CC de Treffort en Revermont;CC;FPU;12;9541;9344;01;01241;210102414;Meillonnas;1315;1295
01;240100636;CC de Treffort en Revermont;CC;FPU;12;9541;9344;01;01309;210103099;Pouillat;92;92
01;240100636;CC de Treffort en Revermont;CC;FPU;12;9541;9344;01;01312;210103123;Pressiat;240;234
01;240100636;CC de Treffort en Revermont;CC;FPU;12;9541;9344;01;01350;210103503;Saint-Etienne-du-Bois;2545;2489
01;240100636;CC de Treffort en Revermont;CC;FPU;12;9541;9344;01;01408;210104089;Simandre-sur-Suran;699;679
01;240100636;CC de Treffort en Revermont;CC;FPU;12;9541;9344;01;01426;210104261;Treffort-Cuisiat;2315;2265
