fantoir_ban,fantoir_bano,voie,nb_ban,nb_bano,diff
3465,3465,place ferdinand buisson,13,16,-3
3505,3505,place fernand lafargue,15,17,-2
3648,3648,place francis de pressense,6,8,-2
3733,3733,place frédéric ozanam,12,11,1
3778,3778,place gabriel,4,4,0
"",,place gabriel delaunay,2,,2
,3782,Place Gabriel Delaunay,,2,-2
"",,place gabriel fauré,1,,1
,3779,Place Gabriel Faure Caud,,1,-1
3810,3810,place gambetta,42,44,-2
3890,3890,place gavinies,7,6,1
3930,3930,place général sarrail,5,5,0
4000,4000,place georges de porto riche,4,4,0
4350,4350,place henri barkhausen,3,3,0
"",,place jean cayrol,2,,2
"",,place jean jacques rabaud,1,,1
4650,4650,place jean jaurès,10,10,0
4665,4665,place jean moulin,4,5,-1
4740,4740,place johnston,5,5,0
,5095,Place Lainé,,1,-1
5330,5330,place lehu,1,1,0
5375,5375,place léon duguit,7,7,0
5600,5600,place longchamps,5,4,1
5626,5626,place louis barthou,16,14,2
5730,5730,place lucien victor meunier,6,5,1
5775,,place mabit,1,,1
6030,6030,place mareilhac,11,14,-3
6355,6355,place meynard,15,15,0
6430,6430,place mitchell,9,8,1
6645,6645,place nansouty,2,2,0
7035,7035,place paul doumer,14,14,0
6997,6997,place paul et jean paul avisseau,14,11,3
7215,7215,place pey berland,39,37,2
7245,7245,place philippe lebon,7,8,-1
7295,7295,place pierre jacques dormoy,18,16,2
7320,7320,place pierre renaudel,8,8,0
7695,7695,place puy paulin,11,12,-1
7785,7785,place ravezies,8,8,0
,7795,Place Raymond Colom,,2,-2
7875,7875,place rené maran,4,1,3
7990,7990,place rodesse,4,4,0
"",,place rohan,2,,2
,8030,Place Rohan,,3,-3
8200,8200,place saint-christoly,4,2,2
8425,8425,place sainte-eulalie,17,17,0
"",,place saint-julien,5,,5
,8273,Place Saint-Julien,,5,-5
8305,8305,place saint-martial,27,27,0
8335,8335,place saint-pierre,9,9,0
8345,8345,place saint-projet,7,8,-1
8670,8670,place simiot,21,23,-2
8825,8825,place tartas,8,8,0
9035,9035,place tourny,9,10,-1
,7420,Pont du Guit,,1,-1
2068,2068,promenade de la cité,14,4,10
0400,0400,quai armand lalande,2,2,0
0540,0540,quai de bacalan,101,93,8
1230,1230,quai de brazza,70,89,-19
1262,1262,quai de brienne,10,19,-9
2780,2780,quai de la douane,9,9,0
4185,4185,quai de la grave,7,7,0
6465,6465,quai de la monnaie,31,29,2
8745,8745,quai de la souys,33,33,0
6900,6900,quai de paludate,61,81,-20
2590,2590,quai deschamps,24,20,4
2000,2000,quai des chartrons,154,142,12
7720,7720,quai des queyries,29,56,-27
8500,8500,quai des salinières,23,23,0
6070,6070,quai du maroc,1,4,-3
4465,4465,quai hubert prom,3,2,1
5615,5615,quai louis XVIII,12,14,-2
7940,7940,quai richelieu,57,58,-1
8405,8405,quai sainte-croix,18,17,1
,5088,Résidence Bel-Air Caud,,1,-1
3340,3340,résidence hipparion,16,335,-319
,A110,Résidence Marly,,30,-30
8985,8985,route de toulouse,52,65,-13
4477,4477,rue 8e régiment infanterie,18,19,-1
0015,0015,rue abbé de l'epée,74,76,-2
0035,0035,rue achard,97,112,-15
0045,0045,rue adolphe châles,13,14,-1
0050,0050,rue adolphe d'eichtal,8,8,0
0055,0055,rue adrien baysselance,53,53,0
0066,0066,rue agis chety,25,25,0
0075,0075,rue albert,25,27,-2
"",,rue albert camus,1,,1
,0087,Rue Albert Camus,,1,-1
0090,0090,rue albert de mun,36,35,1
0095,0095,rue albert marquet,15,17,-2
0100,0100,rue albert nodon,15,16,-1
0105,0105,rue albert pitres,66,80,-14
0115,0115,rue albert thomas,11,13,-2
0110,0110,rue albert tournier,36,39,-3
0127,0127,rue alexander fleming,20,11,9
,0130,Rue Alexis Millardet,,2,-2
0135,0135,rue alfred dalancourt,16,12,4
0140,0140,rue alfred de musset caud,26,28,-2
0145,0145,rue alfred de vigny,39,39,0
0158,0158,rue alfred duprat,9,10,-1
0170,0170,rue alfred poirier,18,19,-1
0175,0175,rue alfred smith,21,31,-10
0190,0190,rue alphonse de lamartine,10,12,-2
0185,0185,rue alphonse dupeux,7,8,-1
0210,0210,rue ambroise,30,31,-1
0225,0225,rue amédée saint-germain,133,117,16
0230,0230,rue amélie,17,17,0
0240,0240,rue ampère,5,6,-1
0245,0245,rue anatole france,12,12,0
0255,0255,rue andré,25,23,2
0256,0256,rue andré bac,15,20,-5
0258,0258,rue andré caverne,28,30,-2
0259,0259,rue andré darbon,13,10,3
0260,0260,rue andré degain,24,31,-7
0270,0270,rue andré dumercq,9,12,-3
0299,0299,rue andrée tamise,44,40,4
0275,0275,rue andré hible,16,15,1
0285,0285,rue andré lamande,37,36,1
0290,0290,rue andré maginot,30,33,-3
0303,0303,rue andré seguin,66,38,28
0305,0305,rue andronne,34,34,0
0312,0312,rue anne frank,41,47,-6
5040,5040,rue anne frank,13,86,-73
0315,0315,rue antoine dupuch,29,36,-7
,0325,Rue Antoine Jourde,,1,-1
0330,0330,rue antoine monier,55,53,2
0340,0340,rue arago,114,115,-1
0372,,rue aristide sousa mendès,7,,7
0385,0385,rue armand caduc,33,34,-1
0390,0390,rue armand dulamon,59,58,1
0394,0394,rue armand got,14,14,0
0395,0395,rue armand lamarque,38,39,-1
0405,0405,rue arnaud miqueu,38,41,-3
0416,0416,rue arthur rimbaud,7,7,0
0417,0417,rue artiguemale,19,17,2
0450,0450,rue audubert,38,40,-2
0455,0455,rue auguin,4,8,-4
0460,0460,rue auguste brutails,27,33,-6
0465,0465,rue auguste couat,10,13,-3
0470,0470,rue auguste merillon,29,31,-2
0475,0475,rue auguste poirson,19,19,0
0490,0490,rue aurélien scholl,17,18,-1
0495,0495,rue ausone,38,38,0
0505,0505,rue avelane,34,34,0
,0506,Rue Avelane,,33,-33
0525,0525,rue azam,27,27,0
0530,0530,rue babin,29,60,-31
0537,0537,rue bac ninh,9,14,-5
"",,rue bahr,1,,1
,0545,Rue Bahr,,1,-1
0555,0555,rue bâillon,14,17,-3
0590,0590,rue barada,19,19,0
0625,0625,rue barennes,42,43,-1
0630,0630,rue barillet deschamps,44,44,0
0640,0640,rue barrau,13,16,-3
0645,0645,rue barreyre,121,136,-15
0655,0655,rue barthélémy,15,15,0
0660,0660,rue basque caud,27,31,-4
0670,0670,rue baste,34,35,-1
0675,0675,rue batailley,21,19,2
0680,0680,rue baudrimont,28,33,-5
0685,0685,rue baudry lacantinerie,99,101,-2
0690,0690,rue bauducheu,145,149,-4
0695,0695,rue baurein,11,12,-1
"",,rue bavard,45,,45
,0700,Rue Bavard,,40,-40
0715,0715,rue bazemont,31,32,-1
0720,0720,rue beaubadat,10,11,-1
0725,0725,rue beaufleury,66,70,-4
0735,0735,rue beautiran,19,19,0
0379,,rue beck,1,,1
0750,0750,rue beck,12,19,-7
0777,0777,rue bel-air,21,22,-1
0795,0795,rue belle étoile,22,29,-7
0805,0805,rue belleville,59,58,1
0815,0815,rue bellus mareilhac,57,51,6
0845,0845,rue bense,4,5,-1
0850,0850,rue béranger,55,53,2
0860,0860,rue bergeon,28,32,-4
0855,0855,rue bergeret,49,50,-1
0870,0870,rue bernard adour,114,118,-4
